PID,Cond,Ch,HbO_beta,HbR_beta
EM,left,S1-D2,2.8722918893957e-06,-9.04513810722397e-06
EM,left,S3-D2,5.55333922828333e-05,-3.30512893590292e-05
EM,left,S4-D2,2.28663874158765e-05,-1.27953426074254e-05
EM,left,S4-D3,5.75174364394774e-06,8.42453388676603e-06
EM,left,S5-D3,2.60464792854749e-05,-1.49081654232604e-05
EM,left,S3-D4,6.53732416831893e-05,-4.53362631361929e-06
EM,left,S4-D4,-9.83145088332499e-06,-8.38653536660083e-06
EM,left,S5-D4,5.90770215307455e-05,-7.68554214612121e-06
EM,left,S8-D5,0,0
EM,left,S6-D5,9.35194010046883e-05,-4.25447430447536e-05
EM,left,S7-D5,1.75120217424456e-18,1.93412946409268e-19
EM,left,S9-D6,1.18361856302849e-05,-1.05132841600828e-06
EM,left,S8-D6,5.48174538957269e-05,-8.31448100682679e-05
EM,left,S6-D6,-3.94515585871597e-05,-2.87951075888478e-05
EM,left,S10-D7,5.58703698175307e-05,1.00878297361086e-05
EM,left,S9-D7,5.29034740265399e-05,-3.18065329202025e-06
EM,left,S8-D7,4.28064433812572e-05,-2.3027544568877e-05
EM,left,S10-D8,3.09874550769436e-05,-8.05874146687458e-06
EM,left,S9-D8,-2.09212717230657e-05,9.60879748556494e-06
EM,right,S1-D1,2.93757551222948e-05,-2.32641610452398e-06
EM,right,S3-D1,8.94700510942233e-05,-2.34297222528405e-06
EM,right,S2-D1,-7.96745407873858e-19,-1.90456366562686e-20
EM,right,S1-D2,2.06308186631009e-05,2.03303193844107e-06
EM,right,S3-D2,8.17305589412686e-05,-8.52618474838989e-06
EM,right,S4-D2,3.42327311751133e-05,-6.94945438294851e-06
EM,right,S4-D3,1.30506256092198e-05,6.10778188274941e-06
EM,right,S5-D3,1.63715355325837e-05,-1.11442976183236e-05
EM,right,S3-D4,7.73273560110609e-05,8.76792584542066e-06
EM,right,S4-D4,-8.6566519649503e-06,-6.91606838929986e-06
EM,right,S5-D4,5.47922184925497e-05,-2.24849564105017e-06
EM,right,S8-D5,0,0
EM,right,S6-D5,0.000101943323105864,-1.46514429954999e-05
EM,right,S7-D5,1.77300917612285e-18,2.00780998631255e-19
EM,right,S9-D6,3.18062771003178e-05,-4.14647220614226e-07
EM,right,S8-D6,7.2976705260158e-05,-5.08998966452971e-05
EM,right,S6-D6,-2.53005445560446e-05,-9.92098573335416e-06
EM,right,S10-D7,6.66796316690445e-05,1.40125436835368e-05
EM,right,S9-D7,7.25772533985447e-05,-5.50099313683719e-06
EM,right,S8-D7,4.92648343019391e-05,-8.30465006022493e-06
EM,right,S10-D8,3.48150549078657e-05,-9.12201691696761e-06
EM,right,S9-D8,-1.62540085094869e-05,6.19999737560366e-06
HS,left,S1-D1,-2.25590757728937e-05,2.39300684783126e-05
HS,left,S3-D1,0,0
HS,left,S2-D1,-3.61299886906209e-20,-1.42533460826661e-20
HS,left,S1-D2,-6.50599195774374e-06,7.20456915535146e-06
HS,left,S3-D2,2.13966210675804e-06,7.55452898747904e-06
HS,left,S4-D2,1.16867048131995e-05,-1.46751934344522e-06
HS,left,S4-D3,6.56842708627405e-07,-6.04594962005854e-06
HS,left,S5-D3,8.486572657279e-06,7.03942661794172e-06
HS,left,S3-D4,1.75387223697628e-06,2.71419472523295e-06
HS,left,S4-D4,3.22715157324914e-06,-3.29415146081963e-06
HS,left,S5-D4,5.96342380273258e-06,8.63326553403298e-06
HS,left,S8-D5,-8.93687734178369e-06,1.02929270142055e-05
HS,left,S6-D5,-6.5251152455793e-06,1.23225916631451e-05
HS,left,S7-D5,2.2758968594678e-20,1.02501070343333e-20
HS,left,S9-D6,-5.75882219126132e-06,-3.88575740336476e-06
HS,left,S8-D6,-1.36860923103235e-05,1.04006411214984e-05
HS,left,S6-D6,-1.33925570565221e-05,6.70427388761351e-06
HS,left,S10-D7,3.14547721126599e-05,5.94940633137422e-06
HS,left,S9-D7,1.07740251510731e-05,-3.44883745076937e-06
HS,left,S8-D7,-8.15918520269364e-06,1.07288658717346e-05
HS,left,S10-D8,3.05073814865129e-05,8.52635657404135e-06
HS,left,S9-D8,1.50982517692463e-05,-8.07232022511899e-06
HS,right,S1-D1,-2.99972535598477e-05,2.31675311107902e-05
HS,right,S3-D1,0,0
HS,right,S2-D1,-2.52496488086282e-20,-1.99002323976948e-20
HS,right,S1-D2,-8.29267820856738e-06,8.79653674989639e-06
HS,right,S3-D2,-8.72191868879199e-06,8.0324693067801e-06
HS,right,S4-D2,1.17053199004021e-05,3.29304512968895e-07
HS,right,S4-D3,-9.47230632633257e-08,-6.88185578399077e-06
HS,right,S5-D3,6.19513359244276e-06,8.34895113710755e-06
HS,right,S3-D4,-4.18624032514464e-06,2.99611476437753e-06
HS,right,S4-D4,1.1346497087314e-06,-3.09918303042578e-06
HS,right,S5-D4,4.22398170155189e-06,9.47525353618516e-06
HS,right,S8-D5,-1.42976670595471e-05,1.14675083124758e-05
HS,right,S6-D5,-1.05509578374832e-05,1.31030098631927e-05
HS,right,S7-D5,4.46507367909767e-20,2.40043087016531e-20
HS,right,S9-D6,-4.44359379101008e-06,-4.4120085277604e-06
HS,right,S8-D6,-2.03048160948683e-05,1.1765477747459e-05
HS,right,S6-D6,-1.66774166245719e-05,6.75334610813425e-06
HS,right,S10-D7,3.20268554631033e-05,6.26039351464669e-06
HS,right,S9-D7,1.31487234501496e-05,-5.36377645240135e-06
HS,right,S8-D7,-9.87772460358165e-06,1.12167847246836e-05
HS,right,S10-D8,2.77711351582168e-05,8.2484803023983e-06
HS,right,S9-D8,1.43519427938763e-05,-9.47026634280061e-06
JP,left,S1-D1,-7.21876853598892e-05,2.33936704561844e-05
JP,left,S3-D1,-6.48295232870721e-05,2.60167654754992e-05
JP,left,S2-D1,-2.29102244781163e-20,-3.78341383106921e-20
JP,left,S1-D2,-6.09014857246431e-05,3.04708720546173e-05
JP,left,S3-D2,-8.56653192697529e-05,5.12875436384737e-05
JP,left,S4-D2,-6.04738326853399e-05,4.36343580627216e-05
JP,left,S4-D3,-3.82799853895781e-05,1.26775562340346e-05
JP,left,S5-D3,-6.01837130481206e-05,1.39661362773238e-06
JP,left,S3-D4,-6.12295239364688e-05,1.35588747487593e-05
JP,left,S4-D4,-5.51865846546283e-05,4.1399165196619e-05
JP,left,S5-D4,-6.90084596572721e-05,2.33210015370669e-05
JP,left,S8-D5,-1.45001514160115e-05,9.19278218785043e-06
JP,left,S6-D5,-0.000108057016222986,3.05617328543711e-05
JP,left,S7-D5,6.67542632240889e-20,-8.44007829585535e-20
JP,left,S9-D6,-5.59471121416336e-05,3.31798192217128e-05
JP,left,S8-D6,-8.50180105275644e-05,4.5940990151219e-05
JP,left,S6-D6,-8.28226618041682e-05,2.37069689769339e-05
JP,left,S10-D7,-9.62412472849836e-05,2.52793757817497e-05
JP,left,S9-D7,-6.60775177747521e-05,2.53183129056581e-05
JP,left,S8-D7,-7.6562932567506e-05,2.87625165118222e-05
JP,left,S10-D8,-8.93295067304935e-05,7.15498388294338e-06
JP,left,S9-D8,-6.74716629598135e-05,2.46374056726357e-06
JP,right,S1-D1,-7.13663966163007e-05,1.5458338837102e-05
JP,right,S3-D1,-6.15146289121467e-05,1.26034560412481e-05
JP,right,S2-D1,1.80700362080917e-20,5.50369741204044e-20
JP,right,S1-D2,-5.11129521043368e-05,2.32832188418384e-05
JP,right,S3-D2,-7.8359148877477e-05,2.77423936080051e-05
JP,right,S4-D2,-5.55132308129476e-05,2.70781406119008e-05
JP,right,S4-D3,-3.74405758184285e-05,6.43162675648915e-06
JP,right,S5-D3,-5.9487088432441e-05,-1.09078779289683e-06
JP,right,S3-D4,-5.45140024670687e-05,7.25685411044515e-06
JP,right,S4-D4,-5.47843776394147e-05,3.0353513516779e-05
JP,right,S5-D4,-6.64187664023028e-05,1.46485741507197e-05
JP,right,S8-D5,-1.7185199658143e-05,3.15376679551629e-06
JP,right,S6-D5,-0.000112715909973839,1.20380913510026e-05
JP,right,S7-D5,-3.91551063593863e-20,-9.74289563853696e-20
JP,right,S9-D6,-6.48783639822518e-05,2.19256098018855e-05
JP,right,S8-D6,-8.94062916167887e-05,2.54812740602489e-05
JP,right,S6-D6,-8.15021344160352e-05,1.29905130651892e-05
JP,right,S10-D7,-9.59279136937096e-05,2.06491572589127e-05
JP,right,S9-D7,-7.11504006035575e-05,1.51939998885579e-05
JP,right,S8-D7,-7.51074500202901e-05,1.89818975571276e-05
JP,right,S10-D8,-7.9695618447381e-05,3.5947320538732e-06
JP,right,S9-D8,-6.12993155195126e-05,-2.64692827933186e-06
KB,left,S1-D1,-1.93207269430829e-05,4.4679976012302e-06
KB,left,S3-D1,-4.4455607428288e-05,-6.74160781307114e-06
KB,left,S2-D1,1.46123267126929e-19,-1.15458657691211e-20
KB,left,S1-D2,-1.12207746729884e-05,2.17198351884794e-07
KB,left,S3-D2,-5.08613541610778e-05,7.22177886127493e-08
KB,left,S4-D2,-7.41061387083571e-06,-3.39973528635992e-06
KB,left,S4-D3,5.76872500885386e-06,1.44882705364934e-07
KB,left,S5-D3,7.29348334537045e-06,5.10787983652038e-06
KB,left,S3-D4,-1.59018595273172e-05,1.99405388949869e-07
KB,left,S4-D4,-1.67467222497283e-06,-4.48524566363593e-06
KB,left,S5-D4,3.98547639621922e-06,8.72558524564967e-06
KB,left,S8-D5,-7.61197804082248e-06,-1.24242161425807e-05
KB,left,S6-D5,-4.44779260711095e-05,3.87213814888237e-06
KB,left,S7-D5,4.66216009521773e-19,-4.88052317227478e-21
KB,left,S9-D6,-1.51827866320811e-05,2.22539343754079e-06
KB,left,S8-D6,-4.23609278388408e-05,-1.60947101370838e-05
KB,left,S6-D6,-9.78205480154217e-06,5.43429733937826e-06
KB,left,S10-D7,-6.96088375171075e-06,7.47242572114985e-07
KB,left,S9-D7,-8.96486979096805e-06,4.09291782831742e-06
KB,left,S8-D7,-8.36507975496932e-06,3.20313638741098e-06
KB,left,S10-D8,5.42004888922986e-07,3.99917130991138e-06
KB,left,S9-D8,1.05110719134891e-05,6.7629489648215e-06
KB,right,S1-D1,-4.03778424373943e-06,4.30061589336586e-06
KB,right,S3-D1,-2.38908304231312e-05,-3.01725313440798e-06
KB,right,S2-D1,1.18897208108041e-19,-4.22003914792767e-21
KB,right,S1-D2,-4.06508917511872e-07,1.03401851159272e-06
KB,right,S3-D2,-2.70909779857411e-05,1.73263254291546e-06
KB,right,S4-D2,-5.03352264226685e-06,-1.95573823681002e-07
KB,right,S4-D3,3.03372906612074e-06,-9.61444337616587e-07
KB,right,S5-D3,2.71256405093124e-06,5.18528741542994e-06
KB,right,S3-D4,-6.42622956259888e-06,1.3846653291692e-06
KB,right,S4-D4,-1.16655212648883e-07,-2.15382958447069e-06
KB,right,S5-D4,1.76831502896156e-06,8.41847619318233e-06
