PID,Cond,Ch,HbO_beta,HbR_beta
KB,right,S3-D4,-1.47593673270049e-05,2.452939730853e-06
KB,right,S4-D4,-1.10690631588002e-06,-3.82549312515294e-06
KB,right,S5-D4,1.68791069568402e-06,1.67051850719724e-05
KB,right,S8-D5,1.1692315877867e-06,-1.46283716004393e-05
KB,right,S6-D5,-3.90485780205002e-05,6.76497903297631e-06
KB,right,S7-D5,-1.3523939794099e-19,1.34762941908159e-19
KB,right,S9-D6,-2.61018159785311e-05,7.31532393786047e-06
KB,right,S8-D6,-3.16893549836227e-05,-1.38680508728247e-05
KB,right,S6-D6,-5.16263282056127e-06,1.14304760664782e-05
KB,right,S10-D7,-1.28806897999887e-05,2.34820920454485e-06
KB,right,S9-D7,-1.12388986272824e-05,1.05879597957827e-05
KB,right,S8-D7,4.03177303279705e-06,1.07149725769513e-05
KB,right,S10-D8,-6.38137272135403e-06,1.04418109454428e-05
KB,right,S9-D8,3.48896032383963e-06,1.09686690872762e-05
KK,left,S1-D1,-0.000115038596632563,6.27814182224257e-05
KK,left,S3-D1,-0.000191368111178262,7.33666621859429e-05
KK,left,S2-D1,6.34512380788196e-19,2.07438368782578e-19
KK,left,S1-D2,-9.73439339594487e-05,3.7486341985972e-05
KK,left,S3-D2,-0.000123630500799904,8.81907229126315e-05
KK,left,S4-D2,-5.78671390107286e-05,9.46829030935459e-06
KK,left,S4-D3,9.06714617567414e-06,-1.50595104756696e-05
KK,left,S5-D3,-2.80448572711732e-06,4.67176721645518e-06
KK,left,S3-D4,-9.1313885708832e-05,7.12564527856891e-05
KK,left,S4-D4,-7.02268990943564e-07,-9.91062087120686e-06
KK,left,S5-D4,1.12620430047159e-06,7.27214313865568e-06
KK,left,S8-D5,-7.30191785615813e-05,5.043247217857e-05
KK,left,S6-D5,-3.69312185360177e-05,3.23574262789496e-05
KK,left,S7-D5,3.03237795117039e-20,3.60412519056705e-20
KK,left,S9-D6,-1.48587766083883e-05,1.70888872114711e-06
KK,left,S8-D6,-3.38174524074386e-05,7.77977982176204e-05
KK,left,S6-D6,-1.72629782375728e-05,2.42525792463387e-05
KK,left,S10-D7,-2.19417399221976e-05,1.66691111477944e-05
KK,left,S9-D7,-3.5622534193408e-05,5.18972108167615e-06
KK,left,S8-D7,-6.19584295950547e-05,0.000135975480703068
KK,left,S10-D8,-1.66800623741391e-05,4.33226110915443e-06
KK,left,S9-D8,2.06812079066225e-05,-1.26949246036758e-05
KK,right,S1-D1,-0.000116113003613687,2.44659510337312e-05
KK,right,S3-D1,-0.000172320348858309,6.47539655113637e-05
KK,right,S2-D1,7.17500433795436e-19,1.92445885616177e-19
KK,right,S1-D2,-9.32473381747071e-05,2.86869165059654e-05
KK,right,S3-D2,-0.000120820682770526,6.60906603140206e-05
KK,right,S4-D2,-7.42724784395592e-05,1.10061807566508e-05
KK,right,S4-D3,-2.34744583787991e-05,-1.364043450944e-05
KK,right,S5-D3,-6.38595612375774e-06,1.25638749570866e-05
KK,right,S3-D4,-6.80976490951321e-05,5.38300628726941e-05
KK,right,S4-D4,-2.79945569367899e-05,-4.04250296972144e-06
KK,right,S5-D4,-4.14455544226089e-06,1.84116493102427e-05
KK,right,S8-D5,-4.50658638752931e-05,4.49531399445183e-05
KK,right,S6-D5,-2.88656152114468e-05,2.77659999270816e-05
KK,right,S7-D5,4.81114714040443e-20,3.30766365902804e-20
KK,right,S9-D6,-3.56627221914199e-05,-4.28839915793666e-06
KK,right,S8-D6,-2.74800070974092e-05,6.03812138737084e-05
KK,right,S6-D6,2.83078270073322e-06,2.3854130969874e-05
KK,right,S10-D7,-3.77948956914164e-05,1.57118098018432e-05
KK,right,S9-D7,-4.81076466662871e-05,6.28497694260574e-06
KK,right,S8-D7,-3.76581630481432e-05,0.00011617347559905
KK,right,S10-D8,-3.10002230300807e-05,-1.34248363949213e-07
KK,right,S9-D8,-8.37809103410483e-06,-1.06102221703364e-05
KK,left,S1-D1,-2.99443330948067e-05,-3.25171090854038e-05
KK,left,S3-D1,-0.000168567279258598,-4.60376976466142e-05
KK,left,S2-D1,-1.04083408558608e-18,1.03066969021903e-18
KK,left,S1-D2,8.80430549385865e-05,1.91265830649148e-05
KK,left,S3-D2,-1.4819681128086e-05,2.9799762248362e-05
KK,left,S4-D2,7.26460782253169e-06,-9.3389817674227e-06
KK,left,S4-D3,-9.59831741653117e-05,6.98236337766947e-06
KK,left,S5-D3,-8.55180378033091e-05,1.14699711260905e-05
KK,left,S3-D4,-8.46072934024167e-05,-3.76826543205953e-05
KK,left,S4-D4,6.11565768782205e-06,-2.19791652808475e-05
KK,left,S5-D4,-1.11884401259642e-05,-1.0334760747724e-05
