PID,Cond,Ch,HbO_beta,HbR_beta
CI,left,S3-D2,-5.73251783200293e-06,-8.45097512904001e-06
CI,left,S4-D2,-2.29821379218156e-05,1.12462499541011e-05
CI,left,S4-D3,-2.15073254111438e-05,4.55263568760138e-06
CI,left,S5-D3,-1.92806997921304e-05,-6.48777058854816e-06
CI,left,S3-D4,-3.79687429016651e-05,-1.26213551223372e-05
CI,left,S4-D4,-3.56233606385989e-05,2.38240167590171e-06
CI,left,S5-D4,-1.74693042103908e-05,-1.14247002640503e-06
CI,left,S8-D5,-3.49759736754089e-05,-8.19575396629738e-06
CI,left,S6-D5,-3.82535588938829e-06,-3.52127399830881e-06
CI,left,S7-D5,-1.07494656293195e-21,2.10708292354047e-20
CI,left,S9-D6,-2.3915627658458e-05,1.46644672638572e-06
CI,left,S8-D6,-3.70499786432089e-05,6.92134415498956e-08
CI,left,S6-D6,-2.36508045068293e-05,-1.74703222896548e-06
CI,left,S10-D7,-1.87120606249346e-05,2.20158030776225e-07
CI,left,S9-D7,6.62010314391195e-06,8.31383109785081e-06
CI,left,S8-D7,-1.8823188185665e-05,-5.59414363106216e-06
CI,left,S10-D8,-1.63818445599836e-05,-2.31045287416481e-06
CI,left,S9-D8,-9.68271192676834e-06,1.23862199860827e-06
CI,right,S1-D1,-8.96976996110308e-06,-3.55684460476085e-06
CI,right,S3-D1,9.00193204245964e-06,-7.55369512464249e-06
CI,right,S2-D1,-5.18791707983847e-20,-2.46538822851229e-21
CI,right,S1-D2,-3.01712450250522e-05,6.39919824744269e-06
CI,right,S3-D2,-2.48681042874218e-06,-6.00953526806122e-06
CI,right,S4-D2,-5.68571347957252e-06,3.476323943054e-06
CI,right,S4-D3,-4.63286246794404e-06,3.37652728002186e-06
CI,right,S5-D3,-1.16463186616652e-05,-3.33261345526686e-06
CI,right,S3-D4,-3.06407523444869e-05,-1.04701583022635e-05
CI,right,S4-D4,-2.88592976339606e-05,4.53513707736625e-06
CI,right,S5-D4,-2.91166402582765e-06,4.94795846987729e-06
CI,right,S8-D5,4.64495376062664e-06,-1.71921355396961e-06
CI,right,S6-D5,-8.35312696185008e-07,3.59517145870566e-06
CI,right,S7-D5,-5.9797244388003e-21,2.05801735410972e-20
CI,right,S9-D6,-5.83075697707013e-06,-4.59633558311049e-06
CI,right,S8-D6,-5.70518462033754e-06,-2.9149882325085e-06
CI,right,S6-D6,-2.45220196332182e-05,-2.04606301199601e-06
CI,right,S10-D7,-2.16563672639858e-05,-5.22935640926558e-06
CI,right,S9-D7,1.72827955731495e-05,-2.94764260322522e-06
CI,right,S8-D7,8.75358632858681e-06,-8.60938543662019e-06
CI,right,S10-D8,-2.13247015803118e-05,-5.85683592206244e-06
CI,right,S9-D8,-8.6738710148802e-06,-9.80748048899902e-06
EM,left,S1-D1,-3.37071807668459e-05,-6.78622314461769e-06
EM,left,S3-D1,-1.27016908948692e-05,-7.23051666660428e-06
EM,left,S2-D1,-8.31612747551687e-21,-1.19800230058209e-20
EM,left,S1-D2,-3.21987370978063e-05,-3.32415289524667e-06
EM,left,S3-D2,-4.96506335135361e-05,-1.21417815058403e-05
EM,left,S4-D2,-2.25903115804571e-05,-7.43065465462793e-06
