PID,Cond,Ch,HbO_beta,HbR_beta
CD,right,S6-D5,-1.42213985704357e-05,1.15969918381622e-05
CD,right,S7-D5,-7.90145234449535e-21,1.49923730720582e-21
CD,right,S9-D6,1.34806709432856e-05,-3.77654804409196e-06
CD,right,S8-D6,-2.84204567002978e-06,6.16833455844059e-06
CD,right,S6-D6,-1.36706705830337e-06,4.45050902156941e-06
CD,right,S10-D7,-2.14298554691529e-06,-1.298319318671e-06
CD,right,S9-D7,4.1962835116029e-06,-4.36277255957739e-06
CD,right,S8-D7,-8.951494454632e-06,1.28355161402282e-06
CD,right,S10-D8,1.01748995290886e-06,-2.08572438388998e-06
CD,right,S9-D8,2.05798252507965e-06,-2.7389843404598e-06
CI,left,S1-D1,-1.28477825332616e-05,6.31490752652178e-06
CI,left,S3-D1,-5.49486059068393e-06,7.59676584256867e-06
CI,left,S2-D1,2.52629213446984e-21,3.2806250909574e-22
CI,left,S1-D2,-1.24971177328727e-05,3.63374813720231e-06
CI,left,S3-D2,-2.77502167047979e-05,9.72156828240876e-06
CI,left,S4-D2,-1.70600926734271e-05,7.63009802106155e-06
CI,left,S4-D3,-1.46644518204704e-05,6.19563929481451e-06
CI,left,S5-D3,9.29390466870055e-06,3.3215618229761e-06
CI,left,S3-D4,-6.45195206761972e-05,2.51161102477526e-08
CI,left,S4-D4,-2.61483999847093e-05,5.40305949486296e-06
CI,left,S5-D4,7.32987828758611e-06,3.55883433761306e-06
CI,left,S8-D5,-4.38345686967074e-05,9.36970687937508e-07
CI,left,S6-D5,3.86152261206853e-06,1.34131748232632e-05
CI,left,S7-D5,5.48393911158573e-21,-7.35816715623166e-22
CI,left,S9-D6,-1.85601932072942e-05,7.52919342421243e-06
CI,left,S8-D6,-4.08975743556734e-05,1.99136144190602e-05
CI,left,S6-D6,-1.15200869247316e-05,1.14195920928342e-05
CI,left,S10-D7,-1.59203985133767e-05,-5.71228553345659e-06
CI,left,S9-D7,4.62081036235528e-06,3.67803984751593e-06
CI,left,S8-D7,-3.35637290063378e-05,1.72990618422976e-05
CI,left,S10-D8,6.3562495331662e-08,-3.36439771320394e-06
CI,left,S9-D8,5.7643913773851e-06,1.50971031010136e-06
CI,right,S1-D1,-1.16179135805195e-05,2.99772143467701e-06
CI,right,S3-D1,-2.45437668004124e-06,4.00901848220216e-06
CI,right,S2-D1,-7.24108751574144e-22,4.29194506102842e-22
CI,right,S1-D2,-1.15947603654321e-05,4.90579606489087e-06
CI,right,S3-D2,-1.94215492806177e-05,9.3291653906657e-06
CI,right,S4-D2,-9.53037065470971e-06,6.31419377406839e-06
CI,right,S4-D3,-1.44444847415733e-05,4.89700587609159e-06
CI,right,S5-D3,1.98747397436443e-05,6.52876471101681e-06
CI,right,S3-D4,-5.69337726734045e-05,-2.01635809520314e-06
CI,right,S4-D4,-2.46699437863548e-05,6.09794561638231e-06
CI,right,S5-D4,1.46733281513466e-05,8.62927562500177e-06
CI,right,S8-D5,-3.14983584169162e-05,-6.05601370914272e-07
CI,right,S6-D5,2.92895731110393e-06,1.11600181050824e-05
CI,right,S7-D5,1.15009709844852e-20,8.97786902422521e-22
CI,right,S9-D6,-1.0409803092994e-05,5.87851775546958e-06
CI,right,S8-D6,-2.33561515983874e-05,1.49600952487894e-05
CI,right,S6-D6,-8.92359457415213e-06,4.18679131688678e-06
CI,right,S10-D7,-1.4598350442477e-05,-9.07439304054689e-06
CI,right,S9-D7,7.74353289062812e-06,-2.47867707801953e-07
CI,right,S8-D7,-2.298346570774e-05,1.14461986884732e-05
CI,right,S10-D8,-6.56674856029646e-06,-5.56805020729138e-06
CI,right,S9-D8,5.23742257781247e-06,-1.76615985625361e-06
EM,left,S1-D1,7.8774465936076e-06,-4.47698578309296e-06
EM,left,S3-D1,3.47507260418662e-05,-3.48210427581528e-06
EM,left,S2-D1,1.25579344901504e-20,1.97506512037384e-20
EM,left,S1-D2,-1.87534322468896e-05,-5.0667356653119e-06
EM,left,S3-D2,2.46863313296679e-05,1.44946360761812e-06
EM,left,S4-D2,1.8273597737474e-05,-2.3261946788045e-06
EM,left,S4-D3,-3.0730465918563e-06,-7.60877504980586e-06
EM,left,S5-D3,7.39897870946312e-06,-1.00661556082464e-05
EM,left,S3-D4,4.59991311670291e-05,9.18543890787847e-06
EM,left,S4-D4,1.91649141345721e-05,-9.57182991508907e-06
EM,left,S5-D4,-9.1226291371708e-06,-9.14833340096643e-07
EM,left,S8-D5,0,0
EM,left,S6-D5,-8.37991075033649e-05,-2.51694695550729e-07
EM,left,S7-D5,7.90992539878447e-20,2.29987223516447e-22
EM,left,S9-D6,-5.75739880852825e-06,1.47352653403303e-05
EM,left,S8-D6,-0.000202662349286467,-2.46188641594169e-05
EM,left,S6-D6,-0.00021005811356604,1.84811468915762e-05
EM,left,S10-D7,5.02260251302673e-06,1.27672365168931e-06
EM,left,S9-D7,2.9563566792906e-05,6.1357887575452e-06
EM,left,S8-D7,-3.90527433981368e-05,4.41420295785095e-06
EM,left,S10-D8,2.84817743927752e-05,-2.27930609518356e-05
EM,left,S9-D8,-3.75731097320192e-05,6.76184258817731e-07
EM,right,S1-D1,1.54585595354186e-05,1.60108017080476e-06
EM,right,S3-D1,3.90531992575259e-05,5.13513749381084e-06
EM,right,S2-D1,8.88943243464485e-21,1.94593066614897e-20
